crash_city,crash_country,lat,lon,death,airline,ori,year,dest
Near Krasnaya Polyana,USSR,54.1478418,25.2991586,174,Aeroflot,Leningrad,1978,Moscow
Southern Belarus,USSR,54.1478418,25.2991586,132,Aeroflot,Leningrad,1971,Kiev
Leticia,Colombia,-4.203165,-69.935907,80,Fuerza Aérea Colombiana,Leticia,1975,Bogota
Near Puerto Inca,Huanuco,-9.3775677,-74.9647145,91,Lineas Aereas Nacionales SA (Peru),Lima,1982,Pucallpa
Shanisu River,Peru,44.5621027,-73.553123,6,Aeroperu,Lima,1981,Caracas
Near Montelillo,Peru,-8.3695809,-74.5684112,46,Military - Peruvian Air Force,Lima,1972,Saposa
Cerro Lilio,Mexico,19.4062668,-99.0012998,3,Aeronaves del Peru,"Lima, Peu",1981,"Mexico City, Mexico"
Lincoln,Nebraska,40.8257625,-96.6851982,3,Lisa Jet Inc. - Air Taxi,"Lincoln, NB",1986,"Omaha, NB"
Texarkana,Arkansas,33.4417915,-94.0376881,2,Southwest Airlift,Little Rock,1984,Texarkana
Springfield,Missouri,37.2089572,-93.2922989,4,Air Taxi - Ozark Skyways Inc.,"Little Rock, AR",1970,"Springfield, MO"
Mt. San Pietro,near Ajaccio,41.919229,8.738635,180,Inex Adria Aviopromet (Yugoslavia),Ljubljana,1983,Ajaccio
Anchorage,Alaska,61.2180556,-149.9002778,2,Air Taxi,Local Flight,1980,No Record Found
Volta Redonda,Rio de Janeiro,-22.5077674,-44.0946129,4,Aero Clube de Volta Redonda,Local tour,1981,No Record Found
Near Loja,Ecuador,-4.0078909,-79.2112769,34,TAME,Loja,1970,Guayaquil
Loja,Peru,-11.7785433,-77.1615582,14,TAME,Loja,1972,Zumba
Near Rijeka,Yugoslavia,45.3270631,14.442176,78,Aviogenex (Yugoslavia),London,1985,Rijeka
Near Aarsele,West Vlaanderen,50.9969343,3.4224989,63,British European Airways,London,1987,Salzburg
London Heathrow,Staines,51.4820066,-0.4622036,118,British European Airways,London,1978,Brussels
Nailstone,England,52.6618289,-1.3835156,3,Dan Air Services,London,1970,East Midlands
Amsterdam,Netherlands,52.3702157,4.8951679,1,Kondair,London,1969,Amsterdam
Lockerbie,Scotland,55.122245,-3.349008,259,Pan American World Airways,London,1987,New York City
Rome,Italy,41.9027835,12.4963655,33,Uganda Airlines,London,1987,Rome
Near Long Tieng,Laos,19.1109553,102.9219684,13,Air America,"Long Tieng, Laos",1974,"Sam Thong, Laos"
Nyot Mo,Laos,20.9833012,105.7824732,4,Air America,"Long Tieng, Laos",1979,"Moung Cha, Laos"
Near Lonkin,Myanmar,25.6324599,96.372467,9,Burma Airways,Lonkin,1974,Myitkyina
Off Los Angeles,California,34.1758027,-118.3620324,38,United Air Lines,Los Angeles,1974,Denver
Ontario,California,34.0633443,-117.6508876,5,Western Airlines,Los Angeles,1970,Ontairo
Near Duarte,California,34.1394513,-117.9772873,50,Hughes Airwest / Military - US Marine Air Corps,Los Angeles,1974,Salt Lake City
LAX,Los Angeles,33.9415889,-118.40853,2,Continental Airlines,Los Angeles,1971,Honolulu
San Diego,California,32.715738,-117.1610838,137,PacifiSouthwest Airlines / Private,Los Angeles,1977,San Diego
San Luis Obispo,California,35.2827524,-120.6596156,43,PacifiSouthwest Airlines,Los Angeles,1981,San Fransisco
Genoa Peak,Nevada,39.0429638,-119.8812921,4,Chartair - Air Taxi,"Los Angeles, CA",1988,"Lake Tahoe, CA"
Mexico City,Mexico,19.4326077,-99.133208,72,Western Airlines,"Los Angeles, CA",1974,"Mexico City, Mexico"
Near Erie,Pennsylvania,42.1292241,-80.085059,2,Air Ohio - Air Taxi,"Louisville, KY",1977,"Cleveland, OH"
Lobito,Angola,-12.3757287,13.5610451,22,DTA Angola Airlines,Luanda,1988,Lobito
Nacias Nguema,Equatorial Guinea,3.6198322,8.7481167,46,Aeroflot,Luanda,1972,Moscow
Lubango,Huila,-14.9186136,13.5321234,130,TAAG Angola Airlines,Lubango,1977,Luanda
Near Pegnitz,West Germany,49.751552,11.5432054,37,Military - U.S. Army,Ludwigsburg,1978,Grafenwohr
Near Komatipoot,South Africa,-25.450971,31.958687,34,Government of Mozambique,Lusaka,1974,Maputo
Near Noiretable,Loire,45.816764,3.76642,60,Air Inter,Lyon,1976,Clermont
Near Antipolo,Philippines,14.6254827,121.1244847,45,Philippine Air Lines,Mactan,1974,Manilla
Near New Delhi,India,28.6139391,77.2090212,48,Indian Airlines,Madras,1980,Delhi
Near La Corunda,Spain,43.3623436,-8.4115401,85,Aviaco,Madrid,1983,La Coruna
Near Madrid,Spain,40.4167754,-3.7037902,93,Iberia Airlines / Aviaco,Madrid,1981,Rome
Near Durango,Vizcaya,43.1711864,-2.6313339,148,Iberia Airlines,Madrid,1977,Bilbao
Near Mazâr-e Charif,Afghanistan,36.6926167,67.1179511,29,Military - Afghan Republican Air Force,Maimana,1988,Mazar
Near Malaga,Spain,36.721261,-4.4212655,50,Spantax,Malaga,1974,New York City
Malakal,Sudan,9.5279875,31.6682347,60,Sudan Airways,Malakal,1974,Khartoum
Kalvesta,Sweden,59.383333,17.85,22,Skyline Sweden,Malmo,1987,Bromma
Near Managua,Nicaragua,12.1149926,-86.2361744,20,Military - Nicaraguan Air Force,Managua,1980,El Rodeo
Near Arbucias,Gerona,41.8165773,2.511129,112,Dan Air Services,Manchester,1985,Barcelona
Tenerife,Canary Islands,28.4636296,-16.2518467,146,Dan Air Services,Manchester,1984,Tenerife
Manchester,England,53.4807593,-2.2426305,55,British Airtours,Manchester,1972,Kerkira
Manchester,New Hampshire,42.9956397,-71.4547891,4,New England Aviaiton,"Manchester, NH",1978,"Boston, MS"
Near Mandalay,Burma,21.9588282,96.0891032,43,Military - Union of Burma Air Force,Mandalay,1969,Rangoon
Near Manado,Indonesia,1.4748305,124.8420794,13,East Indonesia Air Taxi,Mangole,1975,Manado
Roxas,Philippines,11.5528816,122.740723,1,Philippine Air Lines,Manila,1971,Bacolod
Near San Jose,Philippines,15.8037018,120.9991032,39,Military - Philippine Air Force,Manila,1981,Nichols AFB
Manila,Philippines,14.5995124,120.9842195,32,Philippine Air Lines,Manila,1978,Iligan
Mt. Ipao,Philippines,6.9874561,125.2709964,3,Trans Air Services,Manila,1988,Sicogon
Near Baguio,Philippines,16.4023332,120.5960071,50,Philippine Air Lines,Manila,1969,Baguio
Maracaibo,Zulia,10.6544509,-71.7147951,84,Venezolana Internacional de Aviacion,Maracaibo,1975,Miami
St. Louis,Missouri,38.6270025,-90.1994042,38,Ozark Air Lines,"Marion, IL",1984,St. Louis
Near Pacae,Peru,-10.6736449,-77.8173047,35,Fuerza Aérea del Peru,Mazamari,1972,Lima
Frenchglen,Oregon,42.8279687,-118.9152153,6,Air Taxi,"McDermitt, OR",1984,"Burns, OR"
McGrath,Alakska,62.9532043,-155.5959922,5,Reeder Flying Service,McGrath AK,1980,"Galena, AK"
Sparrevohn,Alaska,65.56389,-167.91888,4,Safeway Airways,"McGrath, AK",1976,"Sparrevohn, AK"
Near Thorney,England,52.6214197,-0.1080679,18,Military - U.S. Air Force,McGuire AFB,1979,Mildenhall RAF
Near Betania,Colombia,5.746649,-75.977569,39,SATENA,Medellin,1978,Buenaventura
Near Medellin,Colombia,6.2530408,-75.5645737,3,TAMPA Colombia,Medellin,1969,Miami
Cerro el Plateado,Colombia,5.9972222,-76.1480556,23,Aerolineas Centrales de Colombia,Medellin,1976,Quibdo
Medellin,Colombia,6.2530408,-75.5645737,5,Aerocondor,"Medellin, Colombia",1984,"Miami, Florida"
Medford,New Jersey,39.8661826,-74.8390162,2,Flying W Airways,"Medford, NJ",1977,"Allentown, PA"
New Orleans,Louisiana,29.9510658,-90.0715323,16,Avion Airways,Memphis,1978,New Orleans
Rich Mountain,Arkansas,34.6906595,-94.3371604,11,Texas International Airlines,Memphis,1984,El Dorado
Near Memphis,Tennessee,35.1495343,-90.0489801,3,Aviation Enterprises,Memphis,1973,Chicago
Monroe,Louisiana,32.5093109,-92.1193012,2,Phoenix Air,"Memphis, TN",1969,"Monroe, LA"
Near San Fernando,Chile,-34.5858603,-70.9907801,29,Uruguayan Air Force - TAMU,Mendoza,1979,Santiago
Merida,Venezuela,8.5698244,-71.1804988,18,Linea Aeropostal Venezolana,Merida,1977,Maiquetia
Near Salinas Victoria,Nuevo Leon,25.9662105,-100.2908632,79,Compania Mexicana de Aviacion,Mexico City,1972,Monterey
Near Mexico City,Mexico,19.4326077,-99.133208,18,Lineas Areas del Centro,Mexico City,1980,Morelia
Maravatio,Mexico,19.8975909,-100.4499971,167,Mexicana,Mexico City,1971,Puerto Vallarta
Mexico City,Mexico,19.4326077,-99.133208,5,Belize Air International Ltd.,Mexico City,1971,Miami
Raleigh,North Carolina,35.7795897,-78.6381787,2,Eastern Air Lines,"Miami, FL",1978,"Raleigh, NC"
,,,,,,,1986,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
