Crash Site,Latitude,Longitude,Crash Country
Fort Myer,26.640628,-81.8723084,Virginia
AtlantiCity,39.3642834,-74.4229266,New Jersey
Near Johannisthal,50.2074306,11.2858917,Germany
Over the North Sea,52.9644453,0.7428461,
Victoria,-37.4713077,144.7851531,British Columbia
Off Cuxhaven,53.859336,8.6879057,Germany
Tienen,50.81057,4.93622,Belgium
Off West Hartlepool,54.7112348,-1.2379399,England
Mainz,49.9928617,8.2472526,Germany
Potters Bar,51.696636,-0.175948,England
Billericay,51.627903,0.418397,England
Near Jambol,42.4841999,26.5035023,Bulgeria
Near Luneville,48.592237,6.492339,France
Off western Denmark,32.0866022,34.8633721,
Off Vlieland Island,53.2501844,4.9514271,North Sea
Near Texel Island,53.0995532,4.808668,North Sea
Off Northern Germany,38.1329445,-88.7482396,
Near Gent,51.0543422,3.7174243,Belgium
Elizabeth,40.6639916,-74.2107006,New Jersey
Ameland Island,53.440564,5.6587659,North Sea
Off Helgoland Island,54.1833116,7.8827444,Germany
Over the Mediterranean,28.080721,-81.516285,
Long Valley,40.7859331,-74.7801645,New Jersey
English Channel,50.134664,-0.357056,
Cantonsville,39.2720509,-76.7319161,Maryland
Newcastle,54.978252,-1.61778,England
Dix Run,40.9064,-77.9395179,Pennsylvania
Cleveland,41.49932,-81.6943605,Ohio
Barcelona,41.3850639,2.1734035,Spain
Cricklewood,51.555684,-0.21396,England
Tie Siding,41.0802621,-105.5074905,Wyoming
Batavia,41.8500284,-88.3125738,Illinois
Valencia,39.4699075,-0.3762881,Spain
Off Port Vendres,42.518487,3.106592,France
Pemberville,41.4108855,-83.46104,Ohio
Morristown,40.7967667,-74.4815438,New Jersey
College Park,38.9896967,-76.93776,Maryland
Bedford,32.844017,-97.1430671,England
Cleveland,41.49932,-81.6943605,Ohio
Oskaloosa,41.2916728,-92.6493595,Iowa
Heller Field,40.9356001,-74.6611769,New Jersey
Newark,40.735657,-74.1723667,New Jersey
Newark,40.735657,-74.1723667,New Jersey
New Paris,41.5033572,-85.8307059,Indiana
Paris,48.856614,2.3522219,France
Toulouse,43.604652,1.444209,France
San Francisco,37.7749295,-122.4194155,California
Rock Springs,41.5874644,-109.2029043,Wyoming
Cleveland,41.49932,-81.6943605,Ohio
Mitchel Field,53.3122275,-60.3342694,NY
Point Cook,-37.9094988,144.7518764,Australia
Elko,40.8324211,-115.7631232,Nevada
Off Gibraltar,16.4180867,120.6213966,
La Crosse,43.8013556,-91.2395807,Wisconsin
Mendotta,41.5472547,-89.1175851,Minnisota
Near Murchinson River,-27.6698729,114.1967424,Australia
River Humber,53.6339758,-0.2765141,England
Fez,34.0181246,-5.0078451,Morocco
Larache,35.1744271,-6.1473964,Morocco
Venice,45.4408474,12.3155151,Italy
Indianapolis,39.768403,-86.158068,Indiana
Cadix,36.5270612,-6.2885962,Spain
Off Folkestone,51.0887953,1.1800845,Kent
Brooklands,-26.741769,151.8194546,England
Pao Ting Fou,38.566903,114.483839,China
Grandvilliers,49.665342,1.939705,France
Near Norfolk,36.8507689,-76.2858726,Virginia
Paris,48.856614,2.3522219,France
Over the Mediterranean Sea,34.5531284,18.0480105,
Egbert,41.1697041,-104.2568991,WY
Castalia,41.4000523,-82.8085204,Ohio
Russia,61.52401,105.318756,
Berks,40.3451566,-75.9927652,England
Colton,34.0739016,-117.3136547,Ohio
Bucharest,44.4267674,26.1025384,Romania
Monsures,49.70958,2.17198,France
Meadville,41.6414438,-80.1514484,Pennsylvania
Cheyenne,41.1399814,-104.8202462,Wyoming
Barcelona,41.3850639,2.1734035,Spain
Ajaccio,41.919229,8.738635,France
Over the English Channel,50.134664,-0.357056,
Purley,51.339228,-0.119711,England
Goshen,41.5822716,-85.8344383,Indiana
Cabrerolles,43.545815,3.125343,France
United States,37.09024,-95.712891,
Barranquilla,11.0041072,-74.8069813,Colombia
Grampian,56.9166667,-4,Pennsylvania
Caldwell,43.6629384,-116.6873596,Ohio
Off Boulogne-sur-Mer,50.725231,1.613334,France
Toul,48.678296,5.890159,France
Budapest,47.497912,19.040235,Hungary
Rosas,19.0101325,-98.2173966,Spain
Alicante,38.3459963,-0.4906855,Spain
Landrécies,50.125434,3.691623,France
Alicante,38.3459963,-0.4906855,Spain
Alicante,38.3459963,-0.4906855,Spain
Nittany Mt,40.8277,-77.7731,Ohio
New York,40.7127837,-74.0059413,New York
Medford,42.3265152,-122.8755949,Oregon
Cape Bojador,26.2666667,-14.4,Morocco
English Channel,50.134664,-0.357056,
Bueren,51.55092,8.5597678,Germany
Hurst,32.8234621,-97.1705678,Kent
Juist,53.681385,7.008163,Germany
Wolvertem,50.95088,4.30927,Belgium
English Channel,50.134664,-0.357056,
Staaken,52.5348604,13.1431864,Germany
Montpelier,44.2600593,-72.5753869,Ohio
Schleiz,50.5761665,11.8090005,Germany
Sevenoaks,51.27241,0.190898,England
Hadley,42.3417565,-72.5884222,New Jersey
France,46.227638,2.213749,
Almeria,36.834047,-2.4637136,Spain
Corunna,43.3623436,-8.4115401,Indiana
Over the Gulf of Finland,59.9124514,26.2623373,
Strasburg,48.5734053,7.7521113,France
New Brunswick,40.4862157,-74.4518188,New Jersey
Thies,14.7910052,-16.9358604,Mauritania
Saale,51.37795,11.857969,Germany
Willington,52.8534194,-1.56489,Connecticut
Amoneburg,50.797725,8.9219942,Germany
Algiers,36.7537703,3.0587927,Algeria
Floh,50.9305556,8.9094444,Germany
Goshen,41.5822716,-85.8344383,Indiana
King Hill,39.2909035,-79.5472764,Idaho
Tambo,-2.5020275,-78.9175088,Qld
Rabat,33.9715904,-6.8498129,Morocco
Lille,50.62925,3.057256,France
Lebo,38.4166818,-95.8530441,Kansas
Huron,45.0521793,-82.485094,Ohio
Edgerton,42.8352835,-89.0676125,Ohio
Edgerton,42.8352835,-89.0676125,Ohio
Near Canajoharie,42.9056288,-74.5718073,New York
Spur,33.4764767,-100.8556857,Texas
Purley,51.339228,-0.119711,England
Near Port Townsend,48.1170387,-122.7604472,BC
Reims,49.258329,4.031696,France
Chattanooga,35.0456297,-85.3096801,Tennessee
Letzlingen,52.4465493,11.4862361,Germany
Rio de Janeiro,-22.9068467,-43.1728965,Brazil
Brazil,-14.235004,-51.92528,
Bristolville,41.3873741,-80.8691273,Ohio
Off Gibraltar,16.4180867,120.6213966,
Valence,44.933393,4.89236,France
Polk,41.3670014,-79.9292233,Pennsylvania
Gerona,41.9794005,2.8214264,Spain
Heroldbach,49.6908242,11.0048276,Germany
Pocatello,42.8713032,-112.4455344,Idaho
Adelaide Hills,-34.9998249,138.7995122,Australia
Toul,48.678296,5.890159,France
Waalhaven harbor,51.8503946,5.8521447,Netherlands
Over the Gulf of Finland,59.9124514,26.2623373,
Frankfurt,50.1109221,8.6821267,Germany
Radevormwald,51.2015995,7.3590901,Germany
Dearborn,42.3222599,-83.1763145,Minnesota
Federal,19.123056,-96.1054549,Wyoming
Off Cape Griz Nez,50.871091,1.583382,France
Rio de Janeiro,-22.9068467,-43.1728965,Brazil
Marquette,46.5475825,-87.3955954,Nebraska
Almeria,36.834047,-2.4637136,Spain
France,46.227638,2.213749,
Tarragona,41.1188827,1.2444909,Spain
Solis,26.1759808,-97.8449549,Uruguay